norm,self_loop,sw,steps,gamma,size_norm,acc,nmi,ari,f1
sym,True,0.5,5,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,5,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,5,0.8,False,0.6166320166320166,0.6020894318725273,0.4511336500414174,0.5399776040225346
sym,True,0.5,5,0.8,True,0.6133056133056133,0.5992783673575368,0.4462342997582007,0.5379793898773998
sym,True,0.5,5,1.0,False,0.6187110187110187,0.6011132274634032,0.4525843000129215,0.5394614086246672
sym,True,0.5,5,1.0,True,0.6174636174636174,0.5981256725155866,0.4497348755007723,0.5399599910775749
sym,True,0.5,5,1.2,False,0.6207900207900208,0.5959769657773191,0.45113653354112737,0.5400554063255116
sym,True,0.5,5,1.2,True,0.6158004158004158,0.5890917688203477,0.444303452068828,0.5347975682682713
sym,True,0.5,5,1.5,False,0.6087318087318088,0.5671534439614715,0.4284565155473942,0.4963193689248724
sym,True,0.5,5,1.5,True,0.6041580041580041,0.5655241152397799,0.4243309530180678,0.5231893738598633
sym,True,0.5,5,2.0,False,0.5945945945945946,0.5380788333088371,0.4022370049301092,0.5115540794254269
sym,True,0.5,5,2.0,True,0.5920997920997921,0.5361819364568478,0.40330621586852156,0.5086920775443643
sym,True,0.5,6,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,6,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,6,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,6,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,6,0.8,False,0.6170478170478171,0.601760888070617,0.4510353264409916,0.5400083861873286
sym,True,0.5,6,0.8,True,0.6141372141372141,0.6001555745056332,0.44741590490019956,0.5384112638673911
sym,True,0.5,6,1.0,False,0.6195426195426196,0.5999473955173215,0.45239012540916473,0.5393376601934877
sym,True,0.5,6,1.0,True,0.6166320166320166,0.5956531462996995,0.447675198240795,0.5390487348457625
